# source_api_id	status	crystal_refs	notes
src/dfa/onepass.rs::func::get_match_kind	missing	-	baseline
src/dfa/onepass.rs::func::get_nfa	missing	-	baseline
src/dfa/onepass.rs::func::get_size_limit	missing	-	baseline
src/dfa/onepass.rs::func::get_starts_for_each_pattern	missing	-	baseline
src/dfa/onepass.rs::func::match_kind	missing	-	baseline
src/dfa/onepass.rs::func::memory_usage	missing	-	baseline
src/dfa/onepass.rs::func::never_match	missing	-	baseline
src/dfa/onepass.rs::func::new	missing	-	baseline
src/dfa/onepass.rs::func::new_from_nfa	missing	-	baseline
src/dfa/onepass.rs::func::pattern_len	missing	-	baseline
src/dfa/onepass.rs::func::reset	missing	-	baseline
src/dfa/onepass.rs::func::reset_cache	missing	-	baseline
src/dfa/onepass.rs::func::size_limit	missing	-	baseline
src/dfa/onepass.rs::func::starts_for_each_pattern	missing	-	baseline
src/dfa/onepass.rs::func::state_len	missing	-	baseline
src/dfa/onepass.rs::func::stride	missing	-	baseline
src/dfa/onepass.rs::func::stride2	missing	-	baseline
src/dfa/onepass.rs::func::syntax	missing	-	baseline
src/dfa/onepass.rs::func::thompson	missing	-	baseline
src/dfa/onepass.rs::func::try_search	missing	-	baseline
src/dfa/onepass.rs::func::try_search_slots	missing	-	baseline
src/dfa/onepass.rs::method::Builder.new	missing	-	baseline
src/dfa/onepass.rs::method::Cache.new	missing	-	baseline
src/dfa/onepass.rs::method::Config.new	missing	-	baseline
src/dfa/onepass.rs::method::DFA.new	missing	-	baseline
src/dfa/onepass.rs::struct::BuildError	missing	-	baseline
src/dfa/onepass.rs::struct::Builder	missing	-	baseline
src/dfa/onepass.rs::struct::Cache	missing	-	baseline
src/dfa/onepass.rs::struct::Config	missing	-	baseline
src/dfa/onepass.rs::struct::DFA	missing	-	baseline
src/dfa/regex.rs::func::build	missing	-	baseline
src/dfa/regex.rs::func::build_sparse	missing	-	baseline
src/dfa/regex.rs::func::builder	missing	-	baseline
src/dfa/regex.rs::func::dense	missing	-	baseline
src/dfa/regex.rs::func::forward	missing	-	baseline
src/dfa/regex.rs::func::new	missing	-	baseline
src/dfa/regex.rs::func::new_sparse	missing	-	baseline
src/dfa/regex.rs::func::pattern_len	missing	-	baseline
src/dfa/regex.rs::func::reverse	missing	-	baseline
src/dfa/regex.rs::func::syntax	missing	-	baseline
src/dfa/regex.rs::func::thompson	missing	-	baseline
src/dfa/regex.rs::func::try_search	missing	-	baseline
src/dfa/regex.rs::method::Builder.new	missing	-	baseline
src/dfa/regex.rs::method::Regex.builder	missing	-	baseline
src/dfa/regex.rs::method::Regex.forward	missing	-	baseline
src/dfa/regex.rs::method::Regex.new	missing	-	baseline
src/dfa/regex.rs::method::Regex.new_sparse	missing	-	baseline
src/dfa/regex.rs::method::Regex.try_search	missing	-	baseline
src/dfa/regex.rs::struct::Builder	missing	-	baseline
src/dfa/regex.rs::struct::FindMatches	missing	-	baseline
src/dfa/regex.rs::struct::Regex	missing	-	baseline
src/dfa/sparse.rs::func::always_match	missing	-	baseline
src/dfa/sparse.rs::func::byte_classes	missing	-	baseline
src/dfa/sparse.rs::func::from_bytes	missing	-	baseline
src/dfa/sparse.rs::func::memory_usage	missing	-	baseline
src/dfa/sparse.rs::func::never_match	missing	-	baseline
src/dfa/sparse.rs::func::new	missing	-	baseline
src/dfa/sparse.rs::func::set_prefilter	missing	-	baseline
src/dfa/sparse.rs::func::start_kind	missing	-	baseline
src/dfa/sparse.rs::func::starts_for_each_pattern	missing	-	baseline
src/dfa/sparse.rs::func::to_bytes_big_endian	missing	-	baseline
src/dfa/sparse.rs::func::to_bytes_little_endian	missing	-	baseline
